family,prompt_id,requested_b,realised_r,signed_error,context_tokens,compress_ms,backend,backend_version,model_version,tokenizer
multifieldqa_en,multifieldqa_en-c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,0.65,0.5521739130434783,-0.09782608695652173,1380,148.50804198067635,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,0.5,0.4181159420289855,-0.0818840579710145,1380,148.9599589840509,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,0.4,0.33405797101449275,-0.06594202898550727,1380,148.86266700341366,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,0.3,0.25,-0.04999999999999999,1380,147.79779099626467,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c29e95ab6195406aceecf3874186150cb1b8b26db5bcd0e4,0.2,0.16014492753623188,-0.039855072463768126,1380,149.39820798463188,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.8,0.696376811594203,-0.1036231884057971,1380,145.89412498753518,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.65,0.5521739130434783,-0.09782608695652173,1380,146.20816698879935,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.5,0.4181159420289855,-0.0818840579710145,1380,145.22799997939728,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.4,0.33405797101449275,-0.06594202898550727,1380,145.24137499392964,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.3,0.25,-0.04999999999999999,1380,145.85295802680776,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-c4f2dfb06f56a185067d2f147c4d846aa0b895f1968eda12,0.2,0.16014492753623188,-0.039855072463768126,1380,146.1370420001913,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.8,0.696376811594203,-0.1036231884057971,1380,147.4682920088526,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.65,0.5521739130434783,-0.09782608695652173,1380,146.05145799578167,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.5,0.4181159420289855,-0.0818840579710145,1380,145.6472909776494,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.4,0.33405797101449275,-0.06594202898550727,1380,145.9966670081485,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-8e79ff617e6cfd373020194ce4cb84531a6aec6ab7e6cfc2,0.3,0.25,-0.04999999999999999,1380,146.47041601710953,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
