backend,requested_b,realised_mean,realised_sd,signed_error,ci_lo,ci_hi,abs_error,n
llmlingua2,0.2,0.17257819801786944,0.011781503024207949,-0.027421801982130567,-0.029830557834177852,-0.025088216010085717,0.027421801982130567,90
llmlingua2,0.3,0.2622666745441597,0.015776587654307592,-0.0377333254558403,-0.040938751636933765,-0.034596987549977316,0.0377333254558403,90
llmlingua2,0.4,0.3538981136927898,0.020860608447210067,-0.046101886307210266,-0.050349520737243,-0.04195626414029391,0.046101886307210266,90
llmlingua2,0.5,0.44393628155371573,0.021894154886368675,-0.05606371844628431,-0.06052108765516389,-0.05171524782026138,0.05606371844628431,90
llmlingua2,0.65,0.5900077999741681,0.03226653688326662,-0.0599922000258319,-0.06658567205781252,-0.05349501625003415,0.0599922000258319,90
llmlingua2,0.8,0.7508831517681185,0.040841126664506885,-0.049116848231881505,-0.057473353487292184,-0.04088896693656361,0.05153716157601977,90
llmlingua2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90
