c_out_over_c_in,n_instances,n_divergent,pct_divergent,mean_saving_when_divergent,ci_lo,ci_hi
1,25,0,0.0,0.0,0.0,0.0
2,25,0,0.0,0.0,0.0,0.0
3,25,0,0.0,0.0,0.0,0.0
4,25,0,0.0,0.0,0.0,0.0
5,25,0,0.0,0.0,0.0,0.0
